name,bfs_nummer,status,iou,area_diff_pct,hausdorff_distance,symmetric_diff_pct,swisstopo_area,osm_area
Hirschthal,4007,https://osm.org/relation/1684328,0.13340442255213322,77.79132027395292,357.24647011977515,93.4401695185523,3530060.2354120086,783979.7718191965
Essertines-sur-Yverdon,5520,https://osm.org/relation/1684966,0.03530614539009038,76.22162898309527,394.49170716445514,115.336158667004,9753854.988508454,2319307.8276184113
Rottenschwil,4238,https://osm.org/relation/1684407,0.12197914053822576,82.77097264827259,125.20371403022091,91.73925577605094,4493472.544865199,774181.613797187
Boussens,5473,https://osm.org/relation/1684865,0.06241761504586414,86.31912966182858,292.51674603715776,100.32324391639558,3156144.834858425,431788.0825418758
Ramsen,2963,https://osm.org/relation/1683692,0.07058267241460978,69.68613070743372,1030.0806799888035,113.130887754836,13495841.21648255,4091111.6662968067
Rolle,5861,https://osm.org/relation/1685122,0.01653912462670778,94.88974483172763,5313.48634166427,101.689960626413,13508743.022347305,690331.238468137
Mandach,4105,https://osm.org/relation/1684358,0.26268798411812305,69.40568903665462,450.64556451978723,76.25696600442524,5540921.480420719,1695206.7479547155
Altdorf (UR),1201,https://osm.org/relation/1683055,0.35618127166290464,64.22925953555261,518.4227376288385,64.45432280894569,10206103.654766103,3650798.8498788616
Gampel-Bratsch,6118,https://osm.org/relation/1685309,0.09232866936297417,86.9588061984898,1291.0230445296881,93.93166514108898,23035992.88498482,3004168.4762329734
Oulens-sous-Echallens,5529,https://osm.org/relation/1685088,0.0912562862789203,84.11405600773872,225.63653465172888,96.5040242477755,5867707.519963779,932140.7302511492
Kaisten,4169,https://osm.org/relation/1684338,0.2055794036740803,69.43236045631909,249.48889000073157,86.0379845168624,18089724.16569157,5529601.677414737
Trub,908,https://osm.org/relation/1682691,0.13335894535785955,78.60689617809243,1037.151446225443,92.8251794838763,61987137.35375714,13260972.650317714
Pohlern,936,https://osm.org/relation/1682607,0.2581540013769132,67.73881340169635,99.96599963271127,77.98523228771421,9866380.429327248,3183011.400803777
Hinwil,117,https://osm.org/relation/1682138,0.06780073831146108,61.656648339275044,1086.2542514696718,120.77494016494157,22281571.764149595,8543501.417064676
Blatten,6192,https://osm.org/relation/1685279,0.030855698674853327,90.21757997618782,1498.6997348183531,103.21037841526145,90511639.60100631,8854228.756209556
Ringgenberg (BE),590,https://osm.org/relation/1682621,0.09592531668380716,84.14535950669874,509.202450600335,95.57334411403065,8880529.292215511,1407975.9931830799
Dürnten,113,https://osm.org/relation/1682112,0.34210845315261423,60.796738100871195,786.9804246699392,68.23640003302197,10217914.27284842,4005755.693013229
Montilliez,5540,https://osm.org/relation/1868687,0.10449749246559836,82.4618846315449,382.6695523236816,95.29734359863012,11860795.631622309,2080160.0214906044
Deitingen,2516,https://osm.org/relation/1683493,0.11333865714296565,73.23307203118043,569.4654762297946,100.95700338936649,7599334.77681385,2034108.4658192187
Arlesheim,2763,https://osm.org/relation/1683616,0.24511608699820991,73.39354530724772,215.9192335914143,76.7584460017409,6928282.719801799,1843370.402829851
Eggerberg,6004,https://osm.org/relation/1685295,0.2951389927484225,68.87543530367142,377.168215579891,71.36268251111986,6047256.979531698,1882182.4109475892
Siglistorf,4319,https://osm.org/relation/1684426,0.1653886742479176,79.69371480369534,725.0088641700114,86.15922773472485,5513011.493673328,1119487.8368103616
Bardonnex,6605,https://osm.org/relation/1685449,0.1520777207053678,69.1712979127377,346.0652942247947,96.28913855140728,4997033.963404438,1540520.7137772702
Bettlach,2543,https://osm.org/relation/1683481,0.6757278097639897,28.18643329936858,778.1521828312532,33.24785878806953,12192793.058638353,8756079.575835211
Boécourt,6702,https://osm.org/relation/1685577,0.05225212375748803,88.77641574711429,473.04399580331045,100.17743217978622,12347074.217551539,1385784.2775732253
Le Cerneux-Péquignot,6434,https://osm.org/relation/1685503,0.3133607552043322,43.33555348999569,543.1371308499974,81.90587149166473,15696307.779538976,8894225.92578251
Moutier,700,https://osm.org/relation/1682559,0.046843390090244984,54.721694624718786,555.3369158529335,132.27668852453576,19613200.05423487,8880524.614421286
Port-Valais,6154,https://osm.org/relation/1685352,0.21356892475920528,72.54142175104606,130.55203185986852,82.59719303613142,15070281.701536007,4138085.093354052
Chavannes-sur-Moudon,5665,https://osm.org/relation/1684894,0.1646558847507514,54.99428356256809,212.12172505594134,104.00468798510079,5148147.251733214,2316960.5538964937
Oberdiessbach,619,https://osm.org/relation/3411235,0.11206835601131948,85.46080444733076,870.2760960317586,91.45388919526498,16465064.412515005,2393887.9128085077
Rain,1037,https://osm.org/relation/1682907,0.19057204681956239,71.17068441339313,409.14229703358393,87.58650894203558,9423561.677730672,2716748.3355715196
Stadel,100,https://osm.org/relation/1682210,0.11060336579285114,80.25322130447384,616.16266419609,95.8959653907756,12885646.1789472,2544500.0344452267
Abtwil,4221,https://osm.org/relation/1684253,0.9906289625710777,0.04674636753604212,14.87111218950441,0.9417352922077901,4136312.8892459124,4138246.46527156
Thayngen,2920,https://osm.org/relation/1683713,0.013812396352550162,55.24941946666788,703.3046111455234,140.80635495909496,19924449.96199966,8916307.026068117
Serravalle,5050,https://osm.org/relation/2569271,0.08251226296141942,77.93587174802411,1515.6022707927668,103.45595577561116,96801021.54506303,21358301.54292552
Giornico,5073,https://osm.org/relation/1684678,0.04993081233649061,87.25206483808321,413.9455123901526,102.02418855737956,26000539.150369,3314531.872637826
