Name,Country,OSM Relation,BFS Number,Bezirksnummer,Kantonsnummer,IoU,Area Diff [%],Hausdorff Distance [m],Symmetric Diff [%],Area swisstopo [m²],Area OSM [m²]
Grosswangen,CH,1682846,1086,314,3,0.9992973478298336,0.001398928951640495,3.193,0.07029040334904449,19704274.943276267,19704550.59208316
Härkingen,CH,1683529,2402,1101,11,0.9990445812510764,0.05661534372576078,3.073,0.09561459656197462,5508063.051782785,5511181.460612183
Degersheim,CH,1683872,3401,1728,17,0.9993494152737167,0.019618625418746965,3.715,0.06508602640466093,14477338.529598452,14480178.784415178
Klosters,CH,5817235,3871,1849,18,0.9998989509838336,0.0036722335457228016,3.779,0.010105597735072127,219803697.34176654,219811769.04687506
Trogen,CH,1683949,3025,1502,15,0.9999960037783882,5.596171582699584e-06,0.016,0.0003996229485559134,10028370.945964022,10028370.384759177
Lützelflüh,CH,1682544,955,245,2,0.9995415168628107,0.0013976939434008468,6.899,0.04585914695122866,26868192.422289487,26868567.957387675
Grosshöchstetten,CH,1682459,608,246,2,0.9994096860172758,0.0009105032501440225,2.92,0.05904909576744258,6930518.730775049,6930581.8333733445
Démoret,CH,1684951,5912,2224,22,0.9987041167251444,0.030479009000839438,3.301,0.12965258617542766,4278079.943990108,4276776.027618916
Lutzenberg,CH,1683903,3033,1503,15,0.9999858031367492,6.534836542958229e-05,0.015,0.0014196968665231436,2248142.5164359664,2248143.9855603534
Rorschacherberg,CH,1683928,3216,1722,17,0.9999918485244248,0.0003588292918723329,0.204,0.0008151523424745733,7100532.129920002,7100557.608709163
Sarmenstorf,CH,1684413,4076,1903,19,0.9999954524714011,3.815358537045384e-05,0.015,0.00045475380708580673,8296568.817767515,8296565.652329048
Premier,CH,1685108,5759,2224,22,0.9996659601715002,0.018231412211408404,3.041,0.033412608429719465,6120511.779440428,6121627.635172386
Isenthal,CH,1683085,1211,,4,0.9996736219073976,0.00208150583033196,3.64,0.03264279652822002,61670049.03382622,61668765.36816001
Kappel am Albis,CH,1682151,6,101,1,0.9988267178907931,0.00898302036372554,7.001,0.1174023537698594,7914777.83167104,7915488.817775402
Grandson,CH,1684995,5561,2224,22,0.9998080233908307,0.002915598153202865,3.417,0.01919978373484191,13793224.828992784,13793626.984001165
Vully-les-Lacs,CH,1868690,5464,2222,22,0.9996116218576393,0.007496885676515143,7.855,0.03884681367614064,34720432.38981899,34723035.340941645
Villigen,CH,1684451,4121,1904,19,0.9999962238113479,1.7606893492423783e-05,0.016,0.0003776195447721515,11214075.890707897,11214073.916257499
Mellikon,CH,1684360,4314,1911,19,0.9999936482901008,7.922750376777589e-05,0.014,0.0006351727556611955,2701786.738671366,2701784.598113176
Vevey,CH,1685178,5890,2230,22,0.9999962747623268,4.246715616883818e-05,0.013,0.0003725243821389871,8568652.88048636,8568649.24162316
Hünenberg,CH,1683143,1703,,9,0.9995426990359565,0.035655529056287286,3.385,0.04573240048647516,18663642.307093117,18656987.68668735
Eichberg,CH,1683876,3252,1723,17,0.9985261592798075,0.006455699641342216,7.08,0.14748800159389153,5437179.666933125,5436828.658944868
Alpthal,CH,1683054,1361,506,5,0.999561791516066,0.006393068685187242,3.363,0.04382905077605372,22876760.879698057,22875298.35266207
Arth,CH,1683058,1362,506,5,0.9996603671795937,0.0027373606678277413,7.625,0.033969515470547794,48507494.9323589,48508822.757446125
Adligenswil,CH,1682811,1051,312,3,0.9992956727907427,0.008614654186931796,3.025,0.07046056834129732,6989363.764936449,6989965.874454665
Zwingen,CH,1683727,2793,1302,13,0.9996384488690665,0.008706155972737899,3.311,0.0361632243809785,4607294.643493554,4607695.76175134
Altikon,CH,1682082,211,110,1,0.9988075480645302,0.023335427631204563,4.543,0.11930241155489517,7697242.407419468,7695446.2229878865
Stetten (AG),CH,1684433,4041,1902,19,0.999992855340333,0.00017440116156526757,0.014,0.0007144691418995267,4413021.569184593,4413029.26554547
Diegten,CH,1683640,2884,1305,13,0.9989499140103627,0.03032419463562399,3.417,0.10504783208621889,9638974.10709455,9636051.165825438
Leuzigen,CH,1682533,388,243,2,0.9992501775213,0.009491257870340629,3.446,0.07500681038692407,10279894.208387148,10278918.517119031
